Indicator Name
Fertilizer consumption (% of fertilizer production)
Fertilizer consumption (kilograms per hectare of arable land)
Agricultural land (sq. km)
Agricultural land (% of land area)
Arable land (hectares)
Arable land (hectares per person)
Arable land (% of land area)
Land under cereal production (hectares)
Permanent cropland (% of land area)
Rural land area where elevation is below 5 meters (sq. km)
Rural land area where elevation is below 5 meters (% of total land area)
Urban land area where elevation is below 5 meters (sq. km)
Urban land area where elevation is below 5 meters (% of total land area)
Land area where elevation is below 5 meters (% of total land area)
Forest area (sq. km)
Forest area (% of land area)
Agricultural irrigated land (% of total agricultural land)
Average precipitation in depth (mm per year)
Land area (sq. km)
Rural land area (sq. km)
Urban land area (sq. km)
Cereal production (metric tons)
Crop production index (2014-2016 = 100)
Food production index (2014-2016 = 100)
Livestock production index (2014-2016 = 100)
Surface area (sq. km)
Cereal yield (kg per hectare)
Trade in services (% of GDP)
"Communications, computer, etc. (% of service imports, BoP)"
"Primary income payments (BoP, current US$)"
"Imports of goods and services (BoP, current US$)"
"Insurance and financial services (% of service imports, BoP)"
"Goods imports (BoP, current US$)"
"Service imports (BoP, current US$)"
"Charges for the use of intellectual property, payments (BoP, current US$)"
"Imports of goods, services and primary income (BoP, current US$)"
"Transport services (% of service imports, BoP)"
"Travel services (% of service imports, BoP)"
"Foreign direct investment, net outflows (BoP, current US$)"
"Foreign direct investment, net outflows (% of GDP)"
"Secondary income, other sectors, payments (BoP, current US$)"
"Personal remittances, paid (current US$)"
"Current account balance (BoP, current US$)"
Current account balance (% of GDP)
"Net financial account (BoP, current US$)"
"Net primary income (BoP, current US$)"
"Net trade in goods and services (BoP, current US$)"
"Net trade in goods (BoP, current US$)"
"Net errors and omissions (BoP, current US$)"
"Foreign direct investment, net (BoP, current US$)"
"Portfolio Investment, net (BoP, current US$)"
"Reserves and related items (BoP, current US$)"
"Net secondary income (BoP, current US$)"
"Net capital account (BoP, current US$)"
"Grants, excluding technical cooperation (BoP, current US$)"
"Technical cooperation grants (BoP, current US$)"
"ICT service exports (BoP, current US$)"
"ICT service exports (% of service exports, BoP)"
"Communications, computer, etc. (% of service exports, BoP)"
"Primary income receipts (BoP, current US$)"
"Exports of goods and services (BoP, current US$)"
"Insurance and financial services (% of service exports, BoP)"
"Goods exports (BoP, current US$)"
"Service exports (BoP, current US$)"
"Charges for the use of intellectual property, receipts (BoP, current US$)"
"Exports of goods, services and primary income (BoP, current US$)"
"Transport services (% of service exports, BoP)"
"Travel services (% of service exports, BoP)"
"Foreign direct investment, net inflows (BoP, current US$)"
"Foreign direct investment, net inflows (% of GDP)"
"Portfolio equity, net inflows (BoP, current US$)"
"Secondary income receipts (BoP, current US$)"
"Personal transfers, receipts (BoP, current US$)"
"Personal remittances, received (current US$)"
"Personal remittances, received (% of GDP)"
""
S&P Global Equity Indices (annual % change)
Market capitalization of listed domestic companies (current US$)
Market capitalization of listed domestic companies (% of GDP)
"Listed domestic companies, total"
"Stocks traded, total value (current US$)"
"Stocks traded, total value (% of GDP)"
"Stocks traded, turnover ratio of domestic shares (%)"
"Net bilateral aid flows from DAC donors, Australia (current US$)"
"Net bilateral aid flows from DAC donors, Austria (current US$)"
"Net bilateral aid flows from DAC donors, Belgium (current US$)"
"Net bilateral aid flows from DAC donors, Canada (current US$)"
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)"
"Net bilateral aid flows from DAC donors, Germany (current US$)"
"Net bilateral aid flows from DAC donors, Denmark (current US$)"
"Net bilateral aid flows from DAC donors, Spain (current US$)"
"Net bilateral aid flows from DAC donors, Estonia (current US$)"
"Net bilateral aid flows from DAC donors, Finland (current US$)"
"Net bilateral aid flows from DAC donors, France (current US$)"
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
"Net bilateral aid flows from DAC donors, Greece (current US$)"
"Net bilateral aid flows from DAC donors, Hungary (current US$)"
"Net bilateral aid flows from DAC donors, Ireland (current US$)"
"Net bilateral aid flows from DAC donors, Iceland (current US$)"
"Net bilateral aid flows from DAC donors, Italy (current US$)"
"Net bilateral aid flows from DAC donors, Japan (current US$)"
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
"Net bilateral aid flows from DAC donors, Lithuania (current US$)"
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
"Net bilateral aid flows from DAC donors, Norway (current US$)"
"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
"Net bilateral aid flows from DAC donors, Poland (current US$)"
"Net bilateral aid flows from DAC donors, Portugal (current US$)"
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
"Net bilateral aid flows from DAC donors, Slovenia (current US$)"
"Net bilateral aid flows from DAC donors, Sweden (current US$)"
"Net bilateral aid flows from DAC donors, Total (current US$)"
"Net bilateral aid flows from DAC donors, United States (current US$)"
"Net ODA provided, to the least developed countries (current US$)"
Net ODA provided to the least developed countries (% of GNI)
"Net ODA provided, total (current US$)"
"Net ODA provided, total (% of GNI)"
"Net ODA provided, total (constant 2021 US$)"
"External debt stocks, total (DOD, current US$)"
External debt stocks (% of GNI)
"Use of IMF credit (DOD, current US$)"
"External debt stocks, long-term (DOD, current US$)"
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
"External debt stocks, short-term (DOD, current US$)"
Short-term debt (% of total reserves)
"Short-term debt (% of exports of goods, services and primary income)"
Short-term debt (% of total external debt)
"PPG, IBRD (DOD, current US$)"
"PPG, IDA (DOD, current US$)"
"IBRD loans and IDA credits (DOD, current US$)"
Present value of external debt (current US$)
"Present value of external debt (% of exports of goods, services and income)"
Present value of external debt (% of GNI)
"Net financial flows, bilateral (NFL, current US$)"
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
"Net official flows from UN agencies, CERF (current US$)"
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
"Net official flows from UN agencies, FAO (current US$)"
"Net official flows from UN agencies, IAEA (current US$)"
"Net official flows from UN agencies, IFAD (current US$)"
"Net official flows from UN agencies, ILO (current US$)"
"Net financial flows, IMF concessional (NFL, current US$)"
"Net financial flows, IMF nonconcessional (NFL, current US$)"
"Net financial flows, IBRD (NFL, current US$)"
"Net financial flows, IDA (NFL, current US$)"
"Net financial flows, multilateral (NFL, current US$)"
"Net financial flows, others (NFL, current US$)"
"IFC, private nonguaranteed (NFL, current US$)"
"PPG, official creditors (NFL, current US$)"
"PPG, bonds (NFL, current US$)"
"PPG, commercial banks (NFL, current US$)"
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
"PNG, bonds (NFL, current US$)"
"PNG, commercial banks and other creditors (NFL, current US$)"
"PPG, other private creditors (NFL, current US$)"
"PPG, private creditors (NFL, current US$)"
"Net financial flows, RDB concessional (NFL, current US$)"
"Net financial flows, RDB nonconcessional (NFL, current US$)"
"Net official flows from UN agencies, SDGFUND (current US$)"
"Net official flows from UN agencies, SPRP (current US$)"
"Net official flows from UN agencies, UNAIDS (current US$)"
"Net official flows from UN agencies, UNCDF (current US$)"
"Net official flows from UN agencies, UNICEF (current US$)"
"Net official flows from UN agencies, UNHCR (current US$)"
"Net official flows from UN agencies, UNCTAD (current US$)"
"Net official flows from UN agencies, UNCOVID (current US$)"
"Net official flows from UN agencies, UNDP (current US$)"
"Net official flows from UN agencies, UNECE (current US$)"
"Net official flows from UN agencies, UNEP (current US$)"
"Net official flows from UN agencies, UNFPA (current US$)"
"Net official flows from UN agencies, UNIDIR (current US$)"
"Net official flows from UN agencies, UNIDO (current US$)"
"Net official flows from UN agencies, UNPBF (current US$)"
"Net official flows from UN agencies, UNRWA (current US$)"
"Net official flows from UN agencies, UNTA (current US$)"
"Net official flows from UN agencies, UNWOMEN (current US$)"
"Net official flows from UN agencies, UNWTO (current US$)"
"Net official flows from UN agencies, WFP (current US$)"
"Net official flows from UN agencies, WHO (current US$)"
"Net official flows from UN agencies, WTO-ITC (current US$)"
Net official development assistance and official aid received (current US$)
Net official development assistance and official aid received (constant 2021 US$)
Net official aid received (current US$)
Net official aid received (constant 2021 US$)
Net official development assistance received (current US$)
Net ODA received (% of gross capital formation)
Net ODA received (% of GNI)
Net official development assistance received (constant 2021 US$)
"Net ODA received (% of imports of goods, services and primary income)"
Net ODA received per capita (current US$)
Net ODA received (% of central government expense)
"Debt service on external debt, total (TDS, current US$)"
"Total debt service (% of exports of goods, services and primary income)"
Total debt service (% of GNI)
"IMF repurchases and charges (TDS, current US$)"
Debt service to exports (%)
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
Public and publicly guaranteed debt service (% of GNI)
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
"Multilateral debt service (TDS, current US$)"
Multilateral debt service (% of public and publicly guaranteed debt service)
"Access to clean fuels and technologies for cooking, rural (% of rural population)"
"Access to clean fuels and technologies for cooking, urban (% of urban population)"
Access to clean fuels and technologies for cooking  (% of population)
Energy intensity level of primary energy (MJ/$2017 PPP GDP)
"Access to electricity, rural (% of rural population)"
"Access to electricity, urban (% of urban population)"
Access to electricity (% of population)
Electricity production from coal sources (% of total)
"Electricity production from oil, gas and coal sources (% of total)"
Electricity production from hydroelectric sources (% of total)
